id_row,SEXE,ANNEE,CLASSE_AGE,CODE_CIM10,libelle_CIM10,label,indicateur,rang,frequence,age_median,nb_cas,asr
151,Homme,2012,Tous ages,C16,Tumeur maligne de l'estomac,Estomac,Incidence,5,5.2,63.0,22,15.54
169,Homme,2018,Tous ages,C16,Tumeur maligne de l'estomac,Estomac,Incidence,5,4.6,62.0,21,12.11
203,Homme,2019,Tous ages,C16,Tumeur maligne de l'estomac,Estomac,Incidence,6,3.8,60.0,19,10.5
3443,Homme,2013,Tous ages,C22,Tumeur maligne du foie et des voies biliaires intrahépatiques,Foie et voies biliaires intra-hépatiques,Mortalité,2,9.2,67.0,19,12.76
3426,Homme,2015,Tous ages,C22,Tumeur maligne du foie et des voies biliaires intrahépatiques,Foie et voies biliaires intra-hépatiques,Mortalité,2,11.3,63.0,25,15.91
189,Homme,2017,Tous ages,C22,Tumeur maligne du foie et des voies biliaires intrahépatiques,Foie et voies biliaires intra-hépatiques,Incidence,6,4.1,59.0,19,10.97
186,Homme,2014,Tous ages,C43,Mélanome malin de la peau,Mélanomes,Incidence,7,4.2,63.0,19,12.06
187,Homme,2016,Tous ages,C43,Mélanome malin de la peau,Mélanomes,Incidence,7,4.2,63.0,19,11.82
152,Femme,2019,Tous ages,C43,Mélanome malin de la peau,Mélanomes,Incidence,5,5.2,64.0,24,12.74
1383,Femme,2013,25-49,C50,Tumeur maligne du sein,Sein,Incidence,1,37.5,,33,64.91
1374,Femme,2020,25-49,C50,Tumeur maligne du sein,Sein,Incidence,1,53.3,,65,122.3
1376,Femme,2014,25-49,C50,Tumeur maligne du sein,Sein,Incidence,1,50.0,,57,110.35
3405,Femme,2021,Tous ages,C50,Tumeur maligne du sein,Sein,Mortalité,1,25.0,59.5,44,23.08
1380,Femme,2019,25-49,C50,Tumeur maligne du sein,Sein,Incidence,1,45.2,,57,107.36
39,Femme,2010,Tous ages,C50,Tumeur maligne du sein,Sein,Incidence,1,33.8,56.0,130,95.34
5285,Femme,2015,50-74,C50,Tumeur maligne du sein,Sein,Mortalité,2,24.5,,24,88.45
2734,Femme,2019,75+,C50,Tumeur maligne du sein,Sein,Incidence,1,26.2,,21,331.06
