"","SEXE","ANNEE","indicateur","rang","frequence","nb_cas","asr","CLASSE_AGE00-24","CLASSE_AGE25-49","CLASSE_AGE50-74","CLASSE_AGE75+","CLASSE_AGETous ages","CODE_CIM10C00-13","CODE_CIM10C00-97","CODE_CIM10C15","CODE_CIM10C16","CODE_CIM10C18-20","CODE_CIM10C22","CODE_CIM10C23-24","CODE_CIM10C25","CODE_CIM10C30-32","CODE_CIM10C33-34","CODE_CIM10C43","CODE_CIM10C50","CODE_CIM10C53","CODE_CIM10C54","CODE_CIM10C56","CODE_CIM10C61","CODE_CIM10C62","CODE_CIM10C64-65","CODE_CIM10C67","CODE_CIM10C70-72","CODE_CIM10C73","CODE_CIM10C82-86,C96","CODE_CIM10C88,C90","CODE_CIM10C91-95"
"1",1,2012,0,5,5.2,22,15.54,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,2018,0,5,4.6,21,12.11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1,2019,0,6,3.8,19,10.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,2013,1,2,9.2,19,12.76,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1,2015,1,2,11.3,25,15.91,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,2017,0,6,4.1,19,10.97,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1,2014,0,7,4.2,19,12.06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,2016,0,7,4.2,19,11.82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,2019,0,5,5.2,24,12.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,2013,0,1,37.5,33,64.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,2020,0,1,53.3,65,122.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,2014,0,1,50,57,110.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,2021,1,1,25,44,23.08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,2019,0,1,45.2,57,107.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,2010,0,1,33.8,130,95.34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,2015,1,2,24.5,24,88.45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,2019,0,1,26.2,21,331.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,2009,1,1,30.8,36,25.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
